code,desc,case_size,bulk_code,micro ,carton,category,line,gr_wt,nt_wt,plant,line_bulk,des_code
FB05002500AF,New Adv Odomos M R Cream 25G- African Pk,144,BB051B,1,1,IBD,Odomos line,0.037,25,1025,odomos,BB051B25
FB05005000AF,New Adv Odomos M R Cream 50G- African Pk,96,BB051B,1,1,IBD,Odomos line,0.069,50,1025,,BB051B50
FB22112001EX,Najwa Herbal TPST 120 Gm + Brush Free,72,BB221,1,1,Pvt Label,Toothpaste Line,0.149,120,1024,,BB221120
FB26502000ML,LITNA HERBAL TOOTHPASTE 20 G,432,BB265,1,1,IBD,Toothpaste Line,0.029,20,1024,,BB26520
FM04912000GC,Fem USA HRC -AloeVera 120g+ Bal Lot- New,48,BM049,0,1,IBD,HRC tube,0.182,120,1025,,BM049120
FM05312000GC,Fem USA HRC- Sandal 120gm + Bal Lot -New,48,BM053,0,1,IBD,HRC tube,0.182,120,1025,,BM053120
FM05912000GC,Fem USA HRC- Rose 120gm +Bal Lot- New,48,BM059,0,1,IBD,HRC tube,0.182,120,1025,,BM059120
FM06312000GC,Fem USA HRC-Lemon 120gm+ Bal Lot - New,48,BM063,0,1,IBD,HRC tube,0.182,120,1025,,BM063120
FM06412000GC,Fem USA HRC- Blossom 120gm +Bal Lot -New,48,BM064,0,1,IBD,HRC tube,0.182,120,1025,,BM064120
FB55102400EX,Medichoice Premium Fld TPST 24g-0.85 OZ,720,BB551,1,0,Pvt Label,Toothpaste Line,0.032,24,1024,,BB55124
FC250200,Dabur Red Paste 200gm,36,BC250,1,1,IBD,Toothpaste Line,0.241,200,1024,,BC250200
FC250100,Dabur Red Paste 100gm,72,BC250,1,1,IBD,Toothpaste Line,0.125,100,1024,,BC250100
FB23005000EX,Meswak Toothpaste 50gms - Export,288,BB230,1,1,IBD,Toothpaste Line,0.061,50,1024,,BB23050
FB23020000EX,Meswak Toothpaste 200gm (72 C/S Pack),72,BB230,1,1,IBD,Toothpaste Line,0.23,200,1024,,BB230200
FB050100A0EX,Adv. Odomos Mosquito Replt Cream 100gm,36,BB051B,1,1,IBD,Odomos line,0.124,100,1025,,BB051B100
FB050050A0EX,Adv. Odomos Mosquito Replt Cream 50gm,72,BB051B,1,1,IBD,Odomos line,0.065,50,1025,,BB051B50
FB050025A0EX,Adv. Odomos Mosquito Replt Cream 25gm,144,BB051B,1,1,IBD,Odomos line,0.036,25,1025,,BB051B25
FB04012000EX,Adv. Odomos Mosquito Replt. Lotion 120ml,48,BB040,1,1,IBD,Odomos Lotion line,0.199,120,1025,,BB040120
FB10505000EX,Odonil Air Freshener 50g Sandalwood-EX,144,BB105,0,1,IBD,Odonil line,0.056,50,1025,,BB10550
FB10105000EX,Odonil Air Freshener 50g Jasmine-EX,144,BB101,0,1,IBD,Odonil line,0.056,50,1025,,BB10150
FB10205000EX,Odonil Air Freshener 50g Lavender-EX,144,BB102,0,1,IBD,Odonil line,0.056,50,1025,,BB10250
FB10405000EX,Odonil Air Freshener 50g Rose-EX,144,BB104,0,1,IBD,Odonil line,0.056,50,1025,,BB10450
FB259117M0EX,AUROMERE MINTFREE  TOOTHPASTE 117 G,144,BB259,1,1,Pvt Label,Toothpaste Line,0.156,117,1024,,BB259117
FB258117H0EX,AUROMERE HERBAL TP. (O.LICORICE) 117 G,144,BB258,1,1,Pvt Label,Toothpaste Line,0.156,117,1024,,BB258117
FB257117F0EX,AUROMERE FRESHMINT TOOTHPASTE 117 G,144,BB257,1,1,Pvt Label,Toothpaste Line,0.156,117,1024,,BB257117
FB33150L00EX,Auromere Herbal Mouthwash 50 Ltr.,1,BB331,1,0,Pvt Label,Mouthwash line,53,50000,1024,,BB33150000
FC25020000UC,Dabur Red Paste 200gm (US/CAN),36,BC250,1,1,IBD,Toothpaste Line,0.26,200,1024,,BC250200
FC22110000UC,Dabur Herbal ToothPaste Neem100ml-US/Can,36,BC221B,1,1,IBD,Toothpaste Line,0.177,154,1024,,BC221B154
FC22310000UC,Dabur Herbal ToothPasteClove100ml-US/Can,36,BC223B,1,1,IBD,Toothpaste Line,0.177,154,1024,,BC223B154
FB23020000UC,Meswak Tooth Paste 200gm (Us/Can),36,BB230,1,1,IBD,Toothpaste Line,0.23,200,1024,,BB230200
FB28007800EX,Freshmint Fluoride TPST 78g (2.75) OZ,144,BB280,1,0,Pvt Label,Toothpaste Line,0.091,78,1024,,BB28078
FB280078C0EX,Freshmint Fluoride TPST 78g 2.75 OZ CRTN,144,BB280,1,1,Pvt Label,Toothpaste Line,0.097,78,1024,,BB28078
FB29904300EX,Freshmint Fluoride Gel TPST 43 G (1.5) O,144,BB299,1,0,Pvt Label,Toothpaste Line,0.057,43,1024,,BB29943
FB29907800EX,Freshmint Fluoride Gel TPST 78G- 2.75 OZ,144,BB299,1,0,Pvt Label,Toothpaste Line,0.095,78,1024,,BB29978
FB29902400EX,Freshmint Fluoride Gel TPST 24G- 0.85 OZ,720,BB299,1,0,Pvt Label,Toothpaste Line,0.031,24,1024,,BB29924
FB32702400EX,Cinnafresh Anticavity Gel Toothpaste 24G,144,BB327,1,0,Pvt Label,Toothpaste Line,0.032,24,1024,,BB32724
FB30100800EX,Naturemint Anticavity FLD. TPST 0.28 OZ,1000,BB280,1,0,Pvt Label,Toothpaste Pouch line,0.011,7.94,1024,,BB2807.94
FB33611700EX,Auromere TPST- Foamfree 4.16 oz-117g New,144,BB336,1,1,Pvt Label,Toothpaste Line,0.157,117,1024,,BB336117
FB33711700EX,Auromere TPST- Licorice 4.16 oz-117g New,144,BB337,1,1,Pvt Label,Toothpaste Line,0.157,117,1024,,BB337117
FB33911700EX,Auromere TPST-Freshmint 4.16 oz-117g New,144,BB339,1,1,Pvt Label,Toothpaste Line,0.157,117,1024,,BB339117
FB33811700EX,Auromere TPST- Mintfree 4.16 oz-117g New,144,BB338,1,1,Pvt Label,Toothpaste Line,0.157,117,1024,,BB338117
FB33604000EX,Auromere TPST- Foamfree 40 kg - New,1,BB336,1,0,Pvt Label,Toothpaste Line,42.2,40000,1024,,BB33640000
FB28311300EX,COOL WAVE FM GL FLRD TPST 4 OZ 113 G,48,BB283,1,0,Pvt Label,Toothpaste Line,0.143,113,1024,,BB283113
FB160150GCZ,Promise Toothpaste 150gms G GOLD (CZ),72,BB160,1,1,Pvt Label,Toothpaste Line,0.182,150,1024,,BB160150
FB262100W0EX,REBI DENTAL WHITENING TOOTHPASTE 100 G,72,BB262,1,1,Pvt Label,Toothpaste Line,0.129,100,1024,,BB262100
FB34607500CZ,Promise TP-Junior- Tutti Frutti 75 ML-CZ,72,BB346,1,0,Pvt Label,Toothpaste Line,0.13,99.75,1024,,BB34699.75
FB34705000CZ,Promise Children TP- Strawberry 50 ML-CZ,72,BB347,1,0,Pvt Label,Toothpaste Line,0.088,66.5,1024,,BB34766.5
FB28001701EX,Freshmint Fluoride TPST 17G (0.6OZ)-TP6A,720,BB280,1,0,Pvt Label,Toothpaste Line,0.023,17,1024,,BB28017
FB29913000EX,Freshmint Fluoride Gel TPST 130G(4.6OZ),60,BB299,1,0,Pvt Label,Toothpaste Line,0.159,130,1024,,BB299130
FB30001700EX,Nature Mnt Fluoride TPST 17 G (0.6) OZ,720,BB280,1,0,Pvt Label,Toothpaste Line,0.025,17,1024,,BB28017
FB30002400EX,Nature Mint Fluoride TPST 24G (0.85) OZ,720,BB280,1,0,Pvt Label,Toothpaste Line,0.029,24,1024,,BB28024
FB29904301EX,Maximum Security Gel Toothpaste 43G,144,BB299,1,0,Pvt Label,Toothpaste Line,0.046,43,1024,,BB29943
FB29902401EX,Maximum Security GEL TPST 24 G - 0.85 OZ,720,BB299,1,0,Pvt Label,Toothpaste Line,0.033,24,1024,,BB29924
FB30007800EX,Nature Mint Flouride TPST 78 G (2.75) OZ,144,BB280,1,0,Pvt Label,Toothpaste Line,0.092,78,1024,,BB28078
FB30518100EX,Iodent Fluoride TPST-Mint 181g-6.4oz+TBR,48,BB305,1,1,Pvt Label,Toothpaste Line,0.246,181,1024,,BB305181
FB29901701EX,Maximum Security Gel Toothpaste 17G,720,BB299,1,0,Pvt Label,Toothpaste Line,0.02,17,1024,,BB29917
FB29900401EX,Maximum Security GEL TPST 4.25 G-0.15OZ,1000,BB299,1,0,Pvt Label,Toothpaste Pouch line,0.006,4.25,1024,,BB2994.25
FB30212200EX,Freshmint Sensitive TPST122G-4.3oz-TPS43,24,BB302,1,1,Pvt Label,Toothpaste Line,0.155,122,1024,,BB302122
FB28018100EX,Freshmint Fluoride TPST 181g (6.4) OZ,48,BB280,1,1,Pvt Label,Toothpaste Line,0.213,181,1024,,BB280181
FB30018100EX,Nature Mint Fluoride TPST 181G (6.4) OZ,48,BB280,1,1,Pvt Label,Toothpaste Line,0.213,181,1024,,BB280181
FB30805600EX,Freshmint Denture Adhesive 56.7G-20Z-DA2,72,BB308,1,1,Pvt Label,HRC tube,0.088,56.7,1025,,BB30856.7
FB42112500EX,Best at care TP 125 ML-coolmint (72pc),72,BB421,1,0,Pvt Label,Toothpaste Line,0.184,152.5,1024,,BB421152.5
FB28013000EX,Freshmint Fluoride TPST 130g (4.6) OZ,60,BB280,1,1,Pvt Label,Toothpaste Line,0.158,130,1024,,BB280130
FB28002400EX,Freshmint Fluoride TPST 24g(0.85) OZ,720,BB280,1,0,Pvt Label,Toothpaste Line,0.029,24,1024,,BB28024
FB29901700EX,Freshmint Fluoride Gel TPST 17G (0.6OZ),720,BB299,1,0,Pvt Label,Toothpaste Line,0.023,17,1024,,BB29917
FB28001700EX,Freshmint Fluoride TPST 17g (0.6) OZ,720,BB280,1,0,Pvt Label,Toothpaste Line,0.022,17,1024,,BB28017
FB24312000EX,Promise cavity protection Tpst 125+20g,72,BB243,1,1,IBD,Toothpaste Line,0.19,145,1024,,BB243145
FC25005000UR,Dabur Red Paste 50 Gm (Ukrain),144,BC250,1,1,IBD,Toothpaste Line,0.06,50,1024,,BC25050
FC25010000UR,Dabur Red Paste 100 Gm (Ukrain),72,BC250,1,1,IBD,Toothpaste Line,0.122,100,1024,,BC250100
FC25020000UR,Dabur Red Paste 200 gm (Ukrain),36,BC250,1,1,IBD,Toothpaste Line,0.239,200,1024,,BC250200
FB27002800EX,MINTBLAST A.CAVITY FLD TPST 1OZ(28G),480,BB270,1,0,Pvt Label,Toothpaste Line,0.033,28,1024,,BB27028
FC25010000RU,Dabur Red Paste 100 gm - Russian Pack,72,BC250,1,1,IBD,Toothpaste Line,0.125,100,1024,,BC250100
FB83507500EX,Forhans Smalto Toothpaste 75 ML,72,BB835,1,1,Pvt Label,Toothpaste Line,0.146,100,1024,,BB835100
FB10250D00SL,Odonil AirFreshner 50G Lavnder Dis.Pk SL,144,BB102,0,1,IBD,Odonil line,0.062,50,1025,,BB10250
FB10150D00SL,Odonil AirFreshner 50G Jasmine Dis.Pk SL,144,BB101,0,1,IBD,Odonil line,0.062,50,1025,,BB10150
FB10450D00SL,Odonil Air Freshner 50G Rose -Dis. Pk SL,144,BB104,0,1,IBD,Odonil line,0.062,50,1025,,BB10450
FB10550D00SL,Odonil AirFreshner 50g S/Wood -Dis Pk SL,144,BB105,0,1,IBD,Odonil line,0.062,50,1025,,BB10550
FB30013000EX,Nature Mint Fluoride TPST 130G (4.6) OZ,60,BB280,1,1,Pvt Label,Toothpaste Line,0.158,130,1024,,BB280130
FB274050T02EX,EUCRYL TPDR 50G(FRESHMINT FLAV)(12 PK),192,BB278,1,1,Pvt Label,Toothpowder line,0.076,50,1024,,BB27850
FB274062EX,EUCRYL TPST- F.MINT FLA-50ML(62G),144,BB274,1,1,Pvt Label,Toothpaste Line,0.083,62,1024,,BB27462
FB24310003EX,Promise Cavity Protect. TPST 100g+ Brush,72,BB243,1,1,IBD,Toothpaste Line,0.15,100,1024,,BB243100
FB55001700EX,Medichoice Fluoride TPST 17g-0.6 OZ,720,BB280,1,0,Pvt Label,Toothpaste Line,0.023,17,1024,,BB28017
FB28004300EX,Freshmint Fluoride TPST 43g (1.5) OZ,144,BB280,1,0,Pvt Label,Toothpaste Line,0.053,43,1024,,BB28043
FB34810000EX,Promise Fluoride TPST-Mint 100g-Toyop,120,BB348,1,1,Pvt Label,Toothpaste Line,0.117,100,1024,,BB348100
FB38502800EX,Mintblast Whitening Toothpaste 1 oz-28g,480,BB385,1,0,Pvt Label,Toothpaste Line,0.034,28,1024,,BB38528
FB45505000EX,Kplus Dentoral Denture Adhesive 50g,72,BB455,1,1,Pvt Label,HRC tube,0.079,50,1025,,BB45550
FC25020000GC,Dabur Red Paste 200gm - GC,36,BC250,1,1,IBD,Toothpaste Line,0.241,200,1024,,BC250200
FB263100H0EX,REBI DENTAL HERBAL TOOTHPASTE 100 G,72,BB263,1,1,Pvt Label,Toothpaste Line,0.129,100,1024,,BB263100
FB30802400EX,FRESHMINT DENTURE ADHESIVE 24G-0.85 OZ,144,BB308,1,1,Pvt Label,HRC tube,0.054,24,1025,,BB30824
FB30806800EX,Freshmint Denture Adhesive 68G-2.4 OZ,72,BB308,1,1,Pvt Label,HRC tube,0.102,68,1025,,BB30868
FB30418100EX,Fluoride Cavity Fighting TPST 181G + TBR,48,BB304,1,1,Pvt Label,Toothpaste Line,0.246,181,1024,,BB304181
FB29918100EX,Freshmint Fluoride GEL TPST 181G - 6.4OZ,48,BB299,1,0,Pvt Label,Toothpaste Line,0.225,181,1024,,BB299181
FB30004300EX,Nature Mint Fluoride TPST 43G (1.5) OZ,144,BB280,1,0,Pvt Label,Toothpaste Line,0.053,43,1024,,BB28043
FB150050,Odonil Blocks 50gm Mix,144,BB152,0,1,Domestic,Odonil line,0.06,50,1025,,BB15250
FM05912000UC,Fem Hair Remov Cream-Rose 120gm(U/C) New,36,BM059,0,1,IBD,HRC tube,0.182,120,1025,,BM059120
FM05312000UC,Fem Hair Rem Cream-Sandal 120gm(U/C) New,36,BM053,0,1,IBD,HRC tube,0.182,120,1025,,BM053120
FM05904000TU,Fem Hair Removal Crm-Senstv-Rose- 40g-TR,48,BM059,0,1,IBD,HRC tube,0.074,40,1025,,BM05940
FM05912000TU,Fem Hair Removal Crm-Senstv-Rose-120g-TR,48,BM059,0,1,IBD,HRC tube,0.182,120,1025,,BM059120
FM06412000TU,Fem Hair Removal Crm-Normal Skin 120g-TR                   ,48,BM064,0,1,IBD,HRC tube,0.182,120,1025,,BM064120
FB24910000CA,PROMISE TOOTHPASTE (TAR. CONT) 100,72,BB249,1,1,IBD,Toothpaste Line,0.12,100,1024,,BB249100
FB247100B0EX,PROMISE TOOTHPASTE (B.SODA ) 100G -,72,BB247,1,1,IBD,Toothpaste Line,0.12,100,1024,,BB247100
FB24510000EX,PROMISE CAVITY PROTECTION TPst -100g,72,BB243,1,1,IBD,Toothpaste Line,0.12,100,1024,,BB243100
FB39000800EX,Freshmint Anticavity FLD GEL TPST 0.28OZ,1000,BB299,1,0,Pvt Label,Toothpaste Pouch line,0.011,8,1024,,BB2998
FB36009100EX,Pre Step Children's TPST 91G-75ML 3.05OZ,72,BB360,1,1,Pvt Label,Toothpaste Line,0.129,91,1024,,BB36091
FC250100GC,DABUR RED  PASTE 100 GM X 72 PCS,72,BC250,1,1,IBD,Toothpaste Line,8.9,100,1024,,BC250100
FB28407500FN,EMMELLE TOOTHPASTE - 75 ML (98 G) - Fin,96,BB284,1,1,Pvt Label,Toothpaste Line,0.129,98,1024,,BB28498
FB28402000FN,EMMELLE TOOTHPASTE - 20 ML (26 G) - Fin,480,BB284,1,0,Pvt Label,Toothpaste Line,0.032,26,1024,,BB28426
FB38107500EX,Emmelle Hyalluron Pro+ TPST 75ML (98 GM),96,BB381,1,1,Pvt Label,Toothpaste Line,0.129,98,1024,,BB38198
FB38102000EX,Emmelle Hyalluron Pro+ TPST 20ML (26GM),480,BB381,1,0,Pvt Label,Toothpaste Line,0.032,26,1024,,BB38126
FB83007500EX,Denthoral Ultra White Toothpaste 75 ML,80,BB830,1,1,Pvt Label,Toothpaste Line,0.124,91.5,1024,,BB83091.5
FB280043C0EX,Freshmint Fluoride TPST 43g (1.5) OZ-CRT,144,BB280,1,1,Pvt Label,Toothpaste Line,0.056,43,1024,,BB28043
FB31712500EX,Dr. Jones Toothpaste 125 ml,72,BB317,1,0,Pvt Label,Toothpaste Line,0.183,152.5,1024,,BB317152.5
FB246100W0EX,PROMISE TOOTHPASTE (WHITNG) 100 G -,72,BB246,1,1,IBD,Toothpaste Line,0.12,100,1024,,BB246100
FB26415001ML,Litna Herbal Toothpaste150G+T.Brush(Mal),72,BB264,1,1,IBD,Toothpaste Line,0.181,150,1024,,BB264150
FB051025,Odomos Cream With Vitamin-E 25 gm,144,BB051,1,1,IBD,Odomos line,0.035,25,1025,,BB05125
FB051050,Odomos Cream With Vitamin-E 50 gm,72,BB051,1,1,IBD,Odomos line,0.068,50,1025,,BB05150
FB051100,Odomos Cream With Vitamin-E 100 gm,36,BB051,1,1,IBD,Odomos line,0.128,100,1025,,BB051100
FB43208500EX,Freshmint Premium TP 85g-3 OZ-ADA3,72,BB551,1,0,Pvt Label,Toothpaste Line,0.101,85,1024,,BB55185
FB43204300EX,Freshmint Premium TP 43g-1.5 OZ-ADA15,144,BB551,1,0,Pvt Label,Toothpaste Line,0.058,43,1024,,BB55143
FB43202400EX,Freshmint Premium TP 24g-0.85 OZ-ADA85,144,BB551,1,0,Pvt Label,Toothpaste Line,0.031,24,1024,,BB55124
FB29913001EX,Maximum Security GEL TPST 130 G - 4.6 OZ,60,BB299,1,0,Pvt Label,Toothpaste Line,0.159,130,1024,,BB299130
FB251100C0UK,Promise TPST with Clove 100ml (UK),72,BB298,1,1,IBD,Toothpaste Line,0.098,158,1024,,BB298158
FB23010000EX,Meswak Toothpaste 100gm (144 C/S Pack),144,BB230,1,1,IBD,Toothpaste Line,0.21,100,1024,,BB230100
FB273050T02EX,EUCRYL TPDR 50G(ORIGINAL FLAV)(12 PK),192,BB273,1,1,Pvt Label,Toothpowder line,0.076,50,1024,,BB27350
FB23010000FR,Meswak Toothpaste 100g (FR),144,BB230,1,1,Pvt Label,Toothpaste Line,0.121,100,1024,,BB230100
FM01205000GC,Fem USA Bleach Apple & Peach 50gm - New,72,BM012,0,1,IBD,Bleach Line,0.121,50,1025,,BM01250
FM01210000GC,Fem USA Bleach Apple & Peach 100gm - New,48,BM012,0,1,IBD,Bleach Line,0.204,100,1025,,BM012100
FM02205000GC,Fem USA Bleach Milk & Pearl 50g New,72,BM022,0,1,IBD,Bleach Line,0.121,50,1025,,BM02250
FM02210000GC,Fem USA Bleach Milk & Pearl 100gm New,48,BM022,0,1,IBD,Bleach Line,0.204,100,1025,,BM022100
FM03602500GC,Fem USA Oxy Bleach 25gm New,72,BM036,0,1,IBD,Bleach Line,0.083,25,1025,,BM03625
FM47601500GC,Fem USA Herbal Bleach 15gm - New,96,BM476,0,1,IBD,Bleach Line,0.059,15,1025,,BM47615
FM19102500EX,Fem Fair&Radiant Moist F Cream 25gm New,72,BM191,0,1,IBD,Bleach Line,0.043,25,1025,,BM19125
FM19105000EX,Fem Fair&Radiant Moist F Cream 50gm New,48,BM191,0,1,IBD,Bleach Line,0.076,50,1025,,BM19150
FM19110000EX,Fem Fair&Radiant Moist F Cream 100gm New,48,BM191,0,1,IBD,Bleach Line,0.136,100,1025,,BM191100
FC22210000UC,Dabur Herbal ToothPasteBasil100ml-US/Can,36,BC222B,1,1,IBD,Toothpaste Line,0.177,154,1024,,BC222B154
FM05312000TU,Fem Hair Removal Crm- Dry Skin 120g- TR,48,BM053,0,1,IBD,HRC tube,0.182,120,1025,,BM053120
FB43102400EX,Freshmint Fluoride-Free TPST 24G-0.85 OZ,720,BB431,1,0,Pvt Label,Toothpaste Line,0.03,24,1024,,BB43124
FB23010000RU,Meswak Toothpaste 100gm - Russia,72,BB230,1,1,IBD,Toothpaste Line,0.126,100,1024,,BB230100
FB260117NFEX,AUROMERENON FOAMINGTOOTHPASTE 117G(T),72,BB260,1,1,Pvt Label,Toothpaste Line,0.161,117,1024,,BB260117
FB34010000FJ,Promise Herbal Flu TPST 100 gm- FJ,120,BB340,1,1,IBD,Toothpaste Line,0.122,100,1024,,BB340100
FB34110000FJ,PromiseFluTPSTWithClove&Enzyme-100gm- FJ,120,BB341,1,1,IBD,Toothpaste Line,0.122,100,1024,,BB341100
FB34210000FJ,Promise Flu TPST Spicy MintGel 100gm- FJ,120,BB342,1,1,IBD,Toothpaste Line,0.122,100,1024,,BB342100
FB34310000FJ,Promise Flu TPST Icy Mint Gel 100gm - FJ,120,BB343,1,1,IBD,Toothpaste Line,0.122,100,1024,,BB343100
FB246100F0FJ,Promise Flu TPST - Whitening 100gm- Fiji,120,BB246A,1,1,IBD,Toothpaste Line,0.122,100,1024,,BB246A100
FB43213000EX,Freshmint Premium TP 130g-4.6 OZ-ADA 46,24,BB551,1,1,Pvt Label,Toothpaste Line,0.165,130,1024,,BB551130
FB05102500SL,Odomos Cream With Vitamin-E 25 gm - SL,144,BB051,1,1,IBD,Odomos line,0.036,25,1025,,BB05125
FB05105000SL,Odomos Cream With Vitamin-E 50 gm - SL,72,BB051,1,1,IBD,Odomos line,0.062,50,1025,,BB05150
FB05110000SL,Odomos Cream With Vitamin-E 100 gm - SL,36,BB051,1,1,IBD,Odomos line,0.119,100,1025,,BB051100
FB15205000SL,Odonil AirFreshner Block 50g Lavinder-SL,144,BB152,0,1,IBD,Odonil line,0.062,50,1025,,BB15250
FB15305000SL,Odonil AirFreshner Block 50g Jasmine-SL,144,BB153,0,1,IBD,Odonil line,0.062,50,1025,,BB15350
FB15405000SL,Odonil AirFreshner Block 50g Orchid-SL,144,BB154,0,1,IBD,Odonil line,0.062,50,1025,,BB15450
FB15505000SL,Odonil AirFreshner Block 50g Rose - SL,144,BB155,0,1,IBD,Odonil line,0.062,50,1025,,BB15550
FB26802400EX,QUANTUM FRESH FLD TPST 0.85OZ(24G),288,BB295,1,0,Pvt Label,Toothpaste Line,0.03,24,1024,,BB29524
FB21705000EX,Promise Mouthwash 50 ML,144,BB217,1,0,Pvt Label,Mouthwash line,0.07,52.5,1024,,BB21752.5
FB23010000UK,Miswak Toothpaste (UK) 100 ML,72,BB297,1,1,IBD,Toothpaste Line,0.12,154,1024,,BB297154
FB30307500EX,Dentifrice Fluoride Toothpaste 75 ML,72,BB280,1,0,Pvt Label,Toothpaste Line,0.143,117,1024,,BB280117
FB22101500ML,Najwa Herbal T/Paste 15g (Eng+Ara+Mal)-,432,BB221A,1,1,Pvt Label,Toothpaste Line,0.023,15,1024,,BB221A15
FB13050000EX,SANIFRESHLIQUIDTOILET CLEANER(AUS) 500ML,24,BB130,0,0,IBD,Sanifresh line,0.617,510,1025,,BB130510
FB292115COEX,TRICARE TOOTHPASTE 75ML(115G)(WITH CARTO,100,BB280,1,1,Pvt Label,Toothpaste Line,0.143,115,1024,,BB280115
FM05304000EX,Fem USA HRC - Sandal 40gm - Tube New,96,BM053,0,1,IBD,HRC tube,0.074,40,1025,,BM05340
FM05904000EX,Fem USA HRC- Rose 40gm -Tube New,96,BM059,0,1,IBD,HRC tube,0.074,40,1025,,BM05940
FM06304000EX,Fem USA HRC- Lemon 40gm - Tube New,96,BM063,0,1,IBD,HRC tube,0.074,40,1025,,BM06340
FM06404000EX,Fem USA HRC -Blossom 40gm -Tube New,96,BM064,0,1,IBD,HRC tube,0.074,40,1025,,BM06440
